ano,dia,mes,casamentos
1991,21,Março,56
1991,21,Abril,114
1991,21,Maio,37
1991,21,Junho,72
1991,21,Julho,301
1991,21,Agosto,87
1991,21,Setembro,1204
1991,21,Outubro,45
1991,21,Novembro,44
1991,21,Dezembro,1345
1991,22,Janeiro,34
1991,22,Fevereiro,65
1991,22,Março,69
1991,22,Abril,58
1991,22,Maio,46
1991,22,Junho,629
1991,22,Julho,41
1991,22,Agosto,103
1991,22,Setembro,295
1991,22,Outubro,38
1991,22,Novembro,54
1991,22,Dezembro,326
1991,23,Janeiro,46
1991,23,Fevereiro,473
1991,23,Março,752
1991,23,Abril,30
1991,23,Maio,54
1991,23,Junho,122
1991,23,Julho,42
1991,23,Agosto,70
1991,23,Setembro,52
1991,23,Outubro,38
1991,23,Novembro,456
1991,23,Dezembro,94
1991,24,Janeiro,48
1991,24,Fevereiro,68
1991,24,Março,102
1991,24,Abril,70
1991,24,Maio,60
1991,24,Junho,41
1991,24,Julho,56
1991,24,Agosto,1625
1991,24,Setembro,37
1991,24,Outubro,56
1991,24,Novembro,66
1991,24,Dezembro,15
1991,25,Janeiro,82
1991,25,Fevereiro,49
1991,25,Março,56
1991,25,Abril,12
1991,25,Maio,768
1991,25,Junho,48
1991,25,Julho,63
1991,25,Agosto,424
1991,25,Setembro,58
1991,25,Outubro,77
1991,25,Novembro,47
1991,25,Dezembro,36
1991,26,Janeiro,511
1991,26,Fevereiro,31
1991,26,Março,48
1991,26,Abril,53
1991,26,Maio,141
1991,26,Junho,46
1991,26,Julho,93
1991,26,Agosto,73
1991,26,Setembro,79
1991,26,Outubro,737
1991,26,Novembro,33
1991,26,Dezembro,70
1991,27,Janeiro,81
1991,27,Fevereiro,45
1991,27,Março,85
1991,27,Abril,583
1991,27,Maio,41
1991,27,Junho,47
1991,27,Julho,1726
1991,27,Agosto,64
1991,27,Setembro,91
1991,27,Outubro,122
1991,27,Novembro,45
1991,27,Dezembro,128
1991,28,Janeiro,65
1991,28,Fevereiro,51
1991,28,Março,75
1991,28,Abril,106
1991,28,Maio,42
1991,28,Junho,72
1991,28,Julho,477
1991,28,Agosto,66
1991,28,Setembro,1086
1991,28,Outubro,59
1991,28,Novembro,65
1991,28,Dezembro,1568
1991,29,Janeiro,48
